Date,Rainfall amount (millimetres),Maximum temperature (Degree C)
2014-02-06,0.0,34.5
2014-02-07,0.0,35.6
2014-02-08,0.0,40.7
2014-02-09,0.0,39.4
2014-02-10,0.0,22.4
2014-02-11,0.0,25.5
2014-02-12,0.0,25.7
2014-02-13,0.0,25.5
2014-02-14,0.0,25.5
2014-02-15,0.0,28.2
2014-02-16,5.8,21.6
2014-02-17,4.8,24.6
2014-02-18,0.0,30.7
2014-02-19,0.0,24.6
2014-02-20,10.4,20.0
2014-02-21,0.0,19.4
2014-02-22,0.6,19.3
2014-02-23,0.0,21.2
2014-02-24,0.0,23.9
2014-02-25,0.0,33.2
2014-02-26,0.0,20.6
2014-02-27,0.4,20.0
2014-02-28,0.0,21.3
2014-03-01,0.0,22.3
2014-03-02,0.0,21.2
2014-03-03,0.0,23.2
2014-03-04,0.0,32.9
2014-03-05,0.0,22.6
2014-03-06,0.0,19.6
2014-03-07,0.0,22.0
2014-03-08,0.0,27.4
2014-03-09,0.0,32.6
2014-03-10,0.0,32.3
2014-03-11,0.0,31.7
2014-03-12,1.6,20.4
2014-03-13,0.0,21.4
2014-03-14,0.0,25.9
2014-03-15,0.0,29.5
2014-03-16,5.6,20.3
2014-03-17,0.0,25.3
2014-03-18,0.0,24.3
2014-03-19,0.0,21.0
2014-03-20,0.0,30.3
2014-03-21,0.0,22.7
2014-03-22,1.8,18.1
2014-03-23,0.0,17.7
2014-03-24,0.2,18.2
2014-03-25,0.4,24.4
2014-03-26,0.0,26.9
2014-03-27,4.6,25.8
2014-03-28,6.6,20.5
2014-03-29,0.2,22.1
2014-03-30,0.6,24.3
2014-03-31,0.2,30.5
2014-04-01,0.0,33.1
2014-04-02,0.0,24.9
2014-04-03,0.2,17.7
2014-04-04,0.0,19.4
2014-04-05,0.0,24.2
2014-04-06,0.0,24.3
2014-04-07,0.0,25.5
2014-04-08,0.0,22.1
2014-04-09,13.4,17.9
2014-04-10,18.2,19.0
2014-04-11,10.2,18.6
2014-04-12,0.4,22.3
2014-04-13,0.0,20.3
2014-04-14,0.0,20.6
2014-04-15,0.0,20.3
2014-04-16,0.0,21.0
2014-04-17,0.0,23.5
2014-04-18,0.0,18.7
2014-04-19,2.2,17.0
2014-04-20,0.0,19.2
2014-04-21,0.0,19.0
2014-04-22,5.4,17.2
2014-04-23,4.8,18.4
2014-04-24,0.2,17.0
2014-04-25,0.2,20.7
2014-04-26,0.0,19.2
2014-04-27,0.0,16.7
2014-04-28,0.0,22.8
2014-04-29,0.0,20.2
2014-04-30,12.8,16.3
2014-05-01,0.0,15.9
2014-05-02,0.0,14.4
2014-05-03,1.4,16.0
2014-05-04,5.6,13.2
2014-05-05,1.8,16.9
2014-05-06,0.6,15.4
2014-05-07,1.8,15.3
2014-05-08,0.0,18.7
2014-05-09,0.0,19.1
2014-05-10,11.0,16.3
2014-05-11,1.8,19.6
2014-05-12,0.0,18.7
2014-05-13,0.0,20.8
2014-05-14,0.0,21.1
2014-05-15,0.0,22.9
2014-05-16,0.0,23.4
2014-05-17,0.0,20.3
2014-05-18,0.0,22.4
2014-05-19,0.0,23.5
2014-05-20,0.0,21.8
2014-05-21,0.8,23.7
2014-05-22,0.0,21.0
2014-05-23,6.2,19.8
2014-05-24,0.0,16.3
2014-05-25,0.6,20.9
2014-05-26,0.0,22.2
2014-05-27,0.0,20.5
2014-05-28,2.2,18.2
2014-05-29,0.0,15.5
2014-05-30,0.0,17.5
2014-05-31,0.0,18.9
2014-06-01,3.8,15.3
2014-06-02,3.2,16.4
2014-06-03,3.4,16.3
2014-06-04,1.6,18.7
2014-06-05,4.8,15.1
2014-06-06,2.0,15.3
2014-06-07,0.4,16.4
2014-06-08,1.0,14.8
2014-06-09,0.0,15.6
2014-06-10,0.0,18.6
2014-06-11,0.0,17.1
2014-06-12,0.0,16.4
2014-06-13,5.8,17.5
2014-06-14,0.0,14.7
2014-06-15,0.8,14.7
2014-06-16,0.4,16.6
2014-06-17,2.0,14.9
2014-06-18,0.0,14.1
2014-06-19,0.0,12.5
2014-06-20,0.0,15.8
2014-06-21,0.0,15.9
2014-06-22,0.0,15.7
2014-06-23,0.0,15.0
2014-06-24,4.4,14.3
2014-06-25,7.0,15.8
2014-06-26,0.6,16.2
2014-06-27,0.0,15.1
2014-06-28,0.0,13.3
2014-06-29,1.6,11.1
2014-06-30,6.0,13.2
2014-07-01,0.4,13.3
2014-07-02,0.0,16.7
2014-07-03,0.0,13.1
2014-07-04,0.0,12.8
2014-07-05,0.0,15.3
2014-07-06,0.2,13.8
2014-07-07,0.0,15.8
2014-07-08,0.0,15.1
2014-07-09,0.2,11.7
2014-07-10,5.0,14.7
2014-07-11,1.2,14.6
2014-07-12,4.4,10.4
2014-07-13,2.4,13.6
2014-07-14,0.0,13.5
2014-07-15,0.0,13.2
2014-07-16,2.0,14.7
2014-07-17,0.2,12.3
2014-07-18,2.4,12.5
2014-07-19,0.2,12.7
2014-07-20,0.2,13.7
2014-07-21,0.0,12.9
2014-07-22,0.0,12.2
2014-07-23,0.0,14.1
2014-07-24,0.0,15.0
2014-07-25,0.0,16.4
2014-07-26,0.0,14.8
2014-07-27,1.4,16.8
2014-07-28,0.0,16.9
2014-07-29,0.0,16.8
2014-07-30,0.0,19.3
2014-07-31,0.0,19.7
2014-08-01,5.2,10.1
2014-08-02,10.6,11.9
2014-08-03,0.6,14.4
2014-08-04,0.0,14.9
2014-08-05,0.0,16.8
2014-08-06,0.0,16.0
2014-08-07,1.6,14.1
2014-08-08,2.6,16.3
2014-08-09,0.0,15.2
2014-08-10,1.4,12.2
2014-08-11,6.0,12.2
2014-08-12,0.6,11.9
2014-08-13,0.2,13.5
2014-08-14,0.8,13.7
2014-08-15,0.0,16.9
2014-08-16,0.0,11.7
2014-08-17,0.0,15.0
2014-08-18,0.0,13.5
2014-08-19,0.2,13.4
2014-08-20,0.0,12.6
2014-08-21,0.0,17.8
2014-08-22,0.0,20.2
2014-08-23,0.0,20.7
2014-08-24,0.6,15.5
2014-08-25,0.8,16.6
2014-08-26,0.2,17.6
2014-08-27,0.0,17.4
2014-08-28,0.0,18.8
2014-08-29,0.0,14.9
2014-08-30,0.0,21.1
2014-08-31,0.0,21.8
2014-09-01,0.0,15.5
2014-09-02,10.8,14.2
2014-09-03,0.2,13.8
2014-09-04,0.0,14.3
2014-09-05,0.0,15.1
2014-09-06,0.0,18.1
2014-09-07,0.0,20.8
2014-09-08,0.0,21.5
2014-09-09,0.0,20.1
2014-09-10,1.6,19.3
2014-09-11,2.4,16.4
2014-09-12,0.0,15.5
2014-09-13,0.0,17.2
2014-09-14,0.0,19.8
2014-09-15,0.0,18.4
2014-09-16,0.0,14.8
2014-09-17,3.4,15.9
2014-09-18,0.6,13.5
2014-09-19,0.4,14.7
2014-09-20,0.0,15.1
2014-09-21,0.0,16.4
2014-09-22,0.0,23.3
2014-09-23,0.0,25.7
2014-09-24,0.0,23.8
2014-09-25,11.6,15.4
2014-09-26,0.2,18.7
2014-09-27,0.0,23.2
2014-09-28,0.0,28.0
2014-09-29,0.0,23.3
2014-09-30,0.0,24.0
2014-10-01,2.6,15.2
2014-10-02,0.0,17.1
2014-10-03,0.6,19.6
2014-10-04,0.2,26.3
2014-10-05,0.0,17.4
2014-10-06,0.0,25.4
2014-10-07,1.0,17.2
2014-10-08,1.0,18.6
2014-10-09,0.0,21.9
2014-10-10,0.0,24.5
2014-10-11,0.0,20.0
2014-10-12,0.0,26.9
2014-10-13,4.4,14.6
2014-10-14,6.0,15.6
2014-10-15,0.2,15.4
2014-10-16,0.0,15.6
2014-10-17,3.4,16.3
2014-10-18,0.0,24.6
2014-10-19,0.0,29.2
2014-10-20,0.0,20.7
2014-10-21,0.0,28.2
2014-10-22,0.0,32.3
2014-10-23,0.0,22.3
2014-10-24,0.0,30.3
2014-10-25,0.0,18.2
2014-10-26,0.0,24.7
2014-10-27,22.4,19.4
2014-10-28,3.6,19.5
2014-10-29,0.4,21.8
2014-10-30,0.0,21.3
2014-10-31,0.0,32.3
2014-11-01,6.0,17.2
2014-11-02,0.2,15.4
2014-11-03,0.0,23.1
2014-11-04,0.0,28.8
2014-11-05,0.0,16.8
2014-11-06,0.0,22.5
2014-11-07,0.0,32.1
2014-11-08,0.0,34.9
2014-11-09,0.2,17.5
2014-11-10,0.0,19.6
2014-11-11,0.0,17.0
2014-11-12,0.0,22.8
2014-11-13,0.0,30.6
2014-11-14,0.0,18.9
2014-11-15,0.0,17.6
2014-11-16,36.6,17.6
2014-11-17,0.6,19.1
2014-11-18,0.0,19.9
2014-11-19,0.0,29.2
2014-11-20,0.0,28.4
2014-11-21,0.8,22.2
2014-11-22,0.0,31.0
2014-11-23,0.0,24.5
2014-11-24,1.2,19.7
2014-11-25,12.6,20.9
2014-11-26,0.0,18.9
2014-11-27,0.0,18.3
2014-11-28,0.0,18.8
2014-11-29,0.0,24.1
2014-11-30,0.0,35.0
2014-12-01,0.0,28.1
2014-12-02,0.4,24.3
2014-12-03,0.0,23.9
2014-12-04,9.0,25.6
2014-12-05,0.0,20.4
2014-12-06,2.6,22.7
2014-12-07,14.8,17.8
2014-12-08,2.2,20.1
2014-12-09,0.0,19.0
2014-12-10,0.0,20.0
2014-12-11,0.8,19.8
2014-12-12,0.0,26.6
2014-12-13,0.0,30.7
2014-12-14,0.0,25.1
2014-12-15,0.0,22.9
2014-12-16,0.0,32.3
2014-12-17,0.0,21.6
2014-12-18,0.0,24.8
2014-12-19,1.6,19.3
2014-12-20,0.0,22.5
2014-12-21,0.0,33.1
2014-12-22,0.0,23.6
2014-12-23,1.0,26.5
2014-12-24,0.6,21.3
2014-12-25,0.0,23.0
2014-12-26,3.4,18.9
2014-12-27,0.0,21.1
2014-12-28,0.0,32.0
2014-12-29,0.0,26.2
2014-12-30,0.2,23.4
2014-12-31,0.4,25.3
2015-01-01,0.0,26.9
2015-01-02,0.0,38.8
2015-01-03,0.0,38.2
2015-01-04,4.2,21.4
2015-01-05,0.0,22.0
2015-01-06,0.0,26.0
2015-01-07,0.0,37.4
2015-01-08,19.4,28.2
2015-01-09,1.2,18.0
2015-01-10,5.2,21.7
2015-01-11,0.0,27.5
2015-01-12,0.0,31.3
2015-01-13,0.0,25.6
2015-01-14,15.8,22.7
2015-01-15,0.0,20.0
2015-01-16,0.0,27.3
2015-01-17,0.0,25.0
2015-01-18,0.0,19.5
2015-01-19,0.0,23.6
2015-01-20,0.0,30.4
2015-01-21,0.0,33.1
2015-01-22,0.0,35.8
2015-01-23,0.0,25.0
2015-01-24,0.0,26.3
2015-01-25,0.0,22.0
2015-01-26,1.0,19.8
2015-01-27,0.6,19.1
2015-01-28,0.0,25.4
2015-01-29,0.0,22.2
2015-01-30,0.0,21.0
2015-01-31,0.0,20.2
2015-02-01,9.2,19.0
2015-02-02,3.8,21.1
2015-02-03,0.0,20.0
2015-02-04,0.0,19.0
2015-02-05,0.0,24.2
2015-02-06,0.0,35.7
2015-02-07,0.0,35.0
2015-02-08,0.0,21.5
2015-02-09,0.0,28.3
2015-02-10,0.0,27.8
2015-02-11,0.0,26.8
2015-02-12,0.0,21.9
2015-02-13,0.0,32.4
2015-02-14,19.6,25.1
2015-02-15,0.4,34.4
2015-02-16,0.0,24.6
2015-02-17,0.0,20.6
2015-02-18,0.0,21.2
2015-02-19,0.0,26.9
2015-02-20,0.0,25.3
2015-02-21,0.0,36.1
2015-02-22,1.6,35.3
2015-02-23,0.0,29.3
2015-02-24,3.2,20.1
2015-02-25,0.0,27.0
2015-02-26,0.0,23.2
2015-02-27,0.0,24.3
2015-02-28,0.0,32.3
2015-03-01,15.8,20.8
2015-03-02,0.0,23.0
2015-03-03,0.0,22.7
2015-03-04,0.0,23.5
2015-03-05,0.8,18.6
2015-03-06,0.2,21.1
2015-03-07,0.2,22.6
2015-03-08,0.0,24.4
2015-03-09,0.0,23.8
2015-03-10,0.0,21.7
2015-03-11,0.0,23.8
2015-03-12,0.0,19.9
2015-03-13,0.0,20.4
2015-03-14,0.0,30.1
2015-03-15,2.2,18.3
2015-03-16,0.0,25.5
2015-03-17,0.0,26.2
2015-03-18,1.4,24.4
2015-03-19,0.0,33.5
2015-03-20,0.0,19.6
2015-03-21,0.0,22.7
2015-03-22,0.0,28.8
2015-03-23,0.0,27.0
2015-03-24,1.4,15.3
2015-03-25,0.4,20.4
2015-03-26,0.4,18.0
2015-03-27,0.2,18.1
2015-03-28,0.0,19.1
2015-03-29,0.0,22.7
2015-03-30,0.0,23.1
2015-03-31,0.0,25.3
2015-04-01,0.0,29.0
2015-04-02,0.2,17.2
2015-04-03,0.0,20.9
2015-04-04,0.0,23.5
2015-04-05,0.0,18.5
2015-04-06,0.0,18.4
2015-04-07,0.0,17.3
2015-04-08,5.6,17.7
2015-04-09,0.0,19.1
2015-04-10,0.0,18.7
2015-04-11,0.0,23.7
2015-04-12,0.0,18.3
2015-04-13,0.0,19.1
2015-04-14,1.6,24.7
2015-04-15,2.4,27.6
2015-04-16,0.0,17.8
2015-04-17,0.0,17.1
2015-04-18,3.6,21.9
2015-04-19,6.4,14.7
2015-04-20,1.4,16.2
2015-04-21,0.0,17.7
2015-04-22,0.0,19.5
2015-04-23,0.0,19.2
2015-04-24,0.0,21.1
2015-04-25,3.0,15.0
2015-04-26,7.0,15.4
2015-04-27,4.0,15.1
2015-04-28,1.6,16.0
2015-04-29,0.0,17.1
2015-04-30,0.0,19.6
2015-05-01,0.0,23.1
2015-05-02,0.0,22.2
2015-05-03,0.0,18.2
2015-05-04,0.0,22.3
2015-05-05,0.6,18.1
2015-05-06,1.4,16.2
2015-05-07,2.2,15.6
2015-05-08,0.2,15.9
2015-05-09,0.0,18.7
2015-05-10,8.6,16.6
2015-05-11,2.6,15.9
2015-05-12,0.0,17.4
2015-05-13,6.8,12.8
2015-05-14,4.4,14.6
2015-05-15,1.8,14.5
2015-05-16,0.0,16.2
2015-05-17,0.0,20.5
2015-05-18,0.0,20.4
2015-05-19,0.0,16.2
2015-05-20,2.4,18.1
2015-05-21,6.2,13.6
2015-05-22,0.4,14.1
2015-05-23,0.0,13.3
2015-05-24,0.0,15.6
2015-05-25,0.0,17.1
2015-05-26,0.0,15.6
2015-05-27,0.0,18.7
2015-05-28,0.0,19.7
2015-05-29,0.0,15.8
2015-05-30,0.0,17.3
2015-05-31,0.0,16.8
2015-06-01,8.2,12.2
2015-06-02,4.2,11.4
2015-06-03,0.8,13.6
2015-06-04,0.0,11.3
2015-06-05,4.2,15.0
2015-06-06,0.2,16.6
2015-06-07,0.0,14.5
2015-06-08,0.0,18.5
2015-06-09,4.0,13.5
2015-06-10,0.0,13.4
2015-06-12,0.0,13.1
2015-06-13,0.0,18.2
2015-06-14,0.0,17.4
2015-06-15,0.0,16.9
2015-06-16,5.0,16.1
2015-06-17,0.0,13.8
2015-06-18,1.0,12.7
2015-06-19,0.2,12.4
2015-06-20,0.0,11.6
2015-06-21,0.0,12.9
2015-06-22,0.0,14.1
2015-06-23,0.0,17.6
2015-06-24,0.0,16.0
2015-06-25,0.0,14.0
2015-06-26,0.0,16.9
2015-06-27,0.0,14.1
2015-06-28,0.0,14.5
2015-06-29,0.0,12.3
2015-06-30,0.0,14.2
2015-07-01,0.0,15.0
2015-07-02,0.6,11.9
2015-07-03,2.6,12.0
2015-07-04,0.0,10.6
2015-07-05,2.0,14.9
2015-07-06,1.6,11.5
2015-07-07,2.2,14.2
2015-07-08,0.2,14.8
2015-07-09,0.0,13.4
2015-07-10,0.0,14.3
2015-07-11,0.2,13.1
2015-07-12,1.6,12.3
2015-07-13,28.4,12.7
2015-07-14,3.8,9.8
2015-07-15,3.6,10.5
2015-07-16,0.2,12.3
2015-07-17,2.4,12.3
2015-07-18,0.4,11.5
2015-07-19,0.0,12.1
2015-07-20,0.0,14.7
2015-07-21,0.0,17.0
2015-07-22,1.6,16.6
2015-07-23,0.0,16.1
2015-07-24,1.2,15.0
2015-07-25,0.8,13.3
2015-07-26,3.2,11.6
2015-07-27,0.8,13.9
2015-07-28,0.0,14.4
2015-07-29,0.0,14.0
2015-07-30,0.0,12.3
2015-07-31,0.6,14.0
2015-08-01,0.2,11.4
2015-08-02,0.0,14.9
2015-08-03,6.4,10.8
2015-08-04,0.0,11.3
2015-08-05,1.0,10.8
2015-08-06,1.6,12.8
2015-08-07,1.4,13.1
2015-08-08,0.4,12.6
2015-08-09,0.0,13.3
2015-08-10,0.2,16.0
2015-08-11,0.8,14.8
2015-08-12,0.0,14.8
2015-08-13,0.2,13.0
2015-08-14,0.0,15.3
2015-08-15,0.4,14.9
2015-08-16,0.2,17.0
2015-08-17,2.4,12.2
2015-08-18,0.6,11.1
2015-08-19,0.0,12.7
2015-08-20,0.0,17.1
2015-08-21,0.0,18.7
2015-08-22,0.0,18.8
2015-08-23,0.0,16.3
2015-08-24,0.0,14.5
2015-08-25,0.0,14.3
2015-08-26,0.2,14.6
2015-08-27,0.8,11.7
2015-08-28,17.4,13.2
2015-08-29,1.8,11.7
2015-08-30,2.2,12.5
2015-08-31,0.0,13.0
2015-09-01,0.0,16.2
2015-09-02,0.0,18.8
2015-09-03,4.4,14.0
2015-09-04,0.0,13.7
2015-09-05,0.0,14.0
2015-09-06,0.0,16.6
2015-09-07,3.6,13.6
2015-09-08,2.0,12.8
2015-09-09,0.0,15.3
2015-09-10,0.0,15.7
2015-09-11,0.0,20.1
2015-09-12,0.0,21.7
2015-09-13,0.0,25.5
2015-09-14,0.0,26.7
2015-09-15,15.8,15.9
2015-09-16,0.0,14.8
2015-09-17,0.4,14.3
2015-09-18,0.0,14.7
2015-09-19,0.0,21.3
2015-09-20,0.0,22.9
2015-09-21,0.0,18.1
2015-09-22,4.4,12.7
2015-09-23,0.0,12.6
2015-09-24,0.0,14.3
2015-09-25,0.0,19.1
2015-09-26,0.0,17.9
2015-09-27,0.0,20.2
2015-09-28,0.0,21.4
2015-09-29,0.0,16.9
2015-09-30,0.0,15.9
2015-10-01,0.0,21.6
2015-10-02,0.0,28.6
2015-10-03,0.0,31.3
2015-10-04,0.0,24.9
2015-10-05,0.0,34.4
2015-10-06,0.0,35.8
2015-10-07,0.0,16.2
2015-10-08,0.0,18.6
2015-10-09,0.0,29.9
2015-10-10,0.0,29.2
2015-10-11,0.4,19.2
2015-10-12,0.6,16.1
2015-10-13,0.4,17.6
2015-10-14,0.0,28.6
2015-10-15,0.0,34.0
2015-10-16,0.0,23.8
2015-10-17,0.0,20.5
2015-10-18,0.0,17.7
2015-10-19,0.0,26.7
2015-10-20,0.0,31.8
2015-10-21,2.4,18.3
2015-10-22,7.0,16.7
2015-10-23,0.0,16.4
2015-10-24,0.0,19.5
2015-10-25,0.0,31.3
2015-10-26,0.2,15.9
2015-10-27,0.2,23.3
2015-10-28,0.0,26.8
2015-10-29,0.0,26.1
2015-10-30,0.0,27.4
2015-10-31,1.0,25.9
2015-11-01,4.4,26.0
2015-11-02,0.0,16.0
2015-11-03,0.2,17.9
2015-11-04,0.0,27.2
2015-11-05,12.2,24.7
2015-11-06,17.6,18.7
2015-11-07,1.2,16.8
2015-11-08,0.0,24.8
2015-11-09,0.0,33.1
2015-11-10,0.0,16.4
2015-11-11,2.0,20.1
2015-11-12,0.0,21.2
2015-11-13,0.4,18.2
2015-11-14,0.2,18.3
2015-11-15,0.2,18.5
2015-11-16,0.2,26.3
2015-11-17,0.0,33.3
2015-11-18,0.0,29.5
2015-11-19,0.0,31.5
2015-11-20,0.4,19.1
2015-11-21,3.6,17.5
2015-11-22,0.0,20.0
2015-11-23,0.0,20.7
2015-11-24,0.0,24.5
2015-11-25,0.0,33.3
2015-11-26,0.0,17.4
2015-11-27,0.4,18.2
2015-11-28,0.0,20.1
2015-11-29,0.0,20.3
2015-11-30,0.0,32.2
2015-12-01,1.8,24.6
2015-12-02,0.0,17.5
2015-12-03,0.0,21.3
2015-12-04,0.0,30.8
2015-12-05,0.0,25.3
2015-12-06,0.0,29.8
2015-12-07,0.0,27.3
2015-12-08,0.8,35.4
2015-12-09,0.0,24.6
2015-12-10,0.0,26.0
2015-12-11,0.0,19.2
2015-12-12,2.0,18.3
2015-12-13,0.0,28.3
2015-12-14,0.0,22.7
2015-12-15,0.0,24.6
2015-12-16,0.0,27.5
2015-12-17,0.0,37.2
2015-12-18,0.0,35.4
